epoch,step,train_loss,val_loss
0,44,,0.3866691589355469
1,49,0.27740031480789185,
1,89,,0.45743000507354736
2,99,0.25558608770370483,
2,134,,0.4188532829284668
3,149,0.22245661914348602,
3,179,,0.3344506621360779
4,199,0.17569442093372345,
4,224,,0.2697715163230896
5,249,0.14259649813175201,
5,269,,0.2661173343658447
6,299,0.12155571579933167,
6,314,,0.26393383741378784
7,349,0.11426491290330887,
7,359,,0.2593707740306854
8,399,0.10746506601572037,
8,404,,0.2356560379266739
9,449,0.07230950891971588,
9,449,,0.24436961114406586
10,494,,0.2604333758354187
11,499,0.09647153317928314,
11,539,,0.2725794315338135
12,549,0.07323431968688965,
12,584,,0.2660527527332306
13,599,0.06762135028839111,
13,629,,0.2821686863899231
14,649,0.05637873709201813,
14,674,,0.2772970497608185
15,699,0.05247874557971954,
15,719,,0.2727958858013153
16,749,0.04147438332438469,
16,764,,0.2761310636997223
17,799,0.0461854562163353,
17,809,,0.2929096221923828
18,849,0.0360078327357769,
18,854,,0.29078802466392517
19,899,0.03361775726079941,
19,899,,0.28329506516456604
20,944,,0.2848588228225708
21,949,0.02755948156118393,
21,989,,0.28040531277656555
22,999,0.02781670354306698,
22,1034,,0.287826806306839
23,1049,0.025163255631923676,
23,1079,,0.28463661670684814
